ERBB4	ERBB4
ERK1	ERK1
ERK1	ERK2
ERK3	ERK3
ERK5	ERK5
ERN1	ERN1
FAK	FAK
FES	FES
FGFR1	FGFR1
FGFR1	FGFR3(G697C)
FGFR1	FGFR2
FGFR1	FGFR4
FLT1	FLT1
FLT3(R834Q)	FLT3(R834Q)
FYN	FYN
GAK	GAK
GCN2(KinDom2S808G)	GCN2(KinDom2S808G)
TGFBR1	TGFBR1
TGFBR2	TGFBR2
TIE2	TIE2
TLK2	TLK2
TNIK	TNIK
TNK2	TNK2
TNNI3K	TNNI3K
TRKB	TRKB
TRKC	TRKC
TTK	TTK
TYK2(JH2domain-pseudokinase)	TYK2(JH2domain-pseudokinase)
ULK1	ULK1
ULK2	ULK2
ULK3	ULK3
VEGFR2	VEGFR2
VRK2	VRK2
WEE1	WEE1
WEE2	WEE2
YANK1	YANK1
ZAK	ZAK
p38-gamma	p38-gamma
p38-gamma	p38-alpha
p38-gamma	p38-beta
p38-gamma	p38-delta
